,'Alopecurus myo','Digitaria isch','Echinochloa cr','Elymus repens','Poa annua L.','Setaria viridi','Amaranthus ret','Atriplex patul','Brassica napus','Capsella bursa','Chenopodium al','Cirsium arvens','Convolvulus ar','Equisetum arve','Fallopia convo','Fumaria offici','Galium aparine','Galinsoga parv','Geranium pusil','Lamium album L.','Matricaria rec','Mercurialis an','Persicaria lap','Persicaria mac','Polygonum avic','Rumex obtusifo','Solanum nigrum','Sonchus arvens','Stellaria medi','Thlaspi arvens','Veronica arven','Viola arvensis'
spre1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
spre2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
spre3,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
spre4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
spre5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.33,0.9,0.33,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
spre6,1,1,1,1,1,1,1,1,1,1,1,1,0.63,1,0.63,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
spre7,0.107,0.194,0.194,0.107,0.107,0.194,0.107,0.194,0.194,0.4,0.323,0.107,0.107,0.107,0.13,0.194,0.107,0.107,0.194,0.295,0.194,0.107,0.194,0.244,0.182,0.107,0.194,0.107,0.341,0.341,0.283,0.194
spre8,0.2,0.341,0.341,0.2,0.2,0.341,0.2,0.341,0.341,0.6,0.516,0.2,0.2,0.2,0.239,0.341,0.2,0.2,0.341,0.482,0.341,0.2,0.341,0.413,0.323,0.2,0.341,0.2,0.536,0.536,0.466,0.341
spre9,0.28,0.452,0.452,0.28,0.28,0.452,0.28,0.452,0.452,0.7,0.631,0.28,0.28,0.28,0.33,0.452,0.28,0.28,0.452,0.599,0.452,0.28,0.452,0.531,0.431,0.28,0.452,0.28,0.648,0.648,0.584,0.452
spre10,0.35,0.536,0.536,0.35,0.35,0.536,0.35,0.536,0.536,0.75,0.699,0.35,0.35,0.35,0.406,0.536,0.35,0.35,0.536,0.673,0.536,0.35,0.536,0.613,0.515,0.35,0.536,0.35,0.713,0.713,0.661,0.536
spre11,0.41,0.6,0.6,0.41,0.41,0.6,0.41,0.6,0.6,0.775,0.74,0.41,0.41,0.41,0.47,0.6,0.41,0.41,0.6,0.72,0.6,0.41,0.6,0.67,0.58,0.41,0.6,0.41,0.75,0.75,0.71,0.6
spre12,0.463,0.648,0.648,0.463,0.463,0.648,0.463,0.648,0.648,0.788,0.764,0.463,0.463,0.463,0.524,0.648,0.463,0.463,0.648,0.75,0.648,0.463,0.648,0.71,0.63,0.463,0.648,0.463,0.771,0.771,0.742,0.648
spre13,0.407,0.494,0.494,0.407,0.407,0.494,0.407,0.494,0.494,0.7,0.623,0.407,0.407,0.407,0.43,0.494,0.407,0.407,0.494,0.595,0.494,0.407,0.494,0.544,0.482,0.407,0.494,0.407,0.641,0.641,0.583,0.494
spre14,0.5,0.641,0.641,0.5,0.5,0.641,0.5,0.641,0.641,0.9,0.816,0.5,0.5,0.5,0.539,0.641,0.5,0.5,0.641,0.782,0.641,0.5,0.641,0.713,0.623,0.5,0.641,0.5,0.836,0.836,0.766,0.641
spre15,0.58,0.752,0.752,0.58,0.58,0.752,0.58,0.752,0.752,1,0.931,0.58,0.58,0.58,0.63,0.752,0.58,0.58,0.752,0.899,0.752,0.58,0.752,0.831,0.731,0.58,0.752,0.58,0.948,0.948,0.884,0.752
spre16,0.65,0.836,0.836,0.65,0.65,0.836,0.65,0.836,0.836,1,0.999,0.65,0.65,0.65,0.706,0.836,0.65,0.65,0.836,0.973,0.836,0.65,0.836,0.913,0.815,0.65,0.836,0.65,1,1,0.961,0.836
spre19,0.707,0.794,0.794,0.707,0.707,0.794,0.707,0.794,0.794,1,0.923,0.707,0.707,0.707,0.73,0.794,0.707,0.707,0.794,0.895,0.794,0.707,0.794,0.844,0.782,0.707,0.794,0.707,0.941,0.941,0.883,0.794
spre20,0.8,0.941,0.941,0.8,0.8,0.941,0.8,0.941,0.941,1,1,0.8,0.8,0.8,0.839,0.941,0.8,0.8,0.941,1,0.941,0.8,0.941,1,0.923,0.8,0.941,0.8,1,1,1,0.941
spre21,0.88,1,1,0.88,0.88,1,0.88,1,1,1,1,0.88,0.88,0.88,0.93,1,0.88,0.88,1,1,1,0.88,1,1,1,0.88,1,0.88,1,1,1,1
spost1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spost2,0,0,0,0,0,0,1,1,1,0.9,1,0.5,0.75,0,1,0,1,0.75,0.25,0.66,1,0.33,1,0.66,0.66,0.75,0.5,0.9,1,0.9,0.5,0
spost3,0,0.75,1,0,0.75,0.25,0.75,1,1,0.9,1,0,0,0,0.75,0.9,1,1,0.75,1,1,0.66,1,1,0.66,0,1,0,1,0.9,1,0.66
spost4,0,0.75,0,0,0.5,0,0,0.25,0,1,0.25,1,0,0,0,0,0,0.25,0.5,0.33,0.25,0,0,0.33,0,0,0.25,0,0.33,1,0.25,1
spost5,1,0.75,1,0.75,1,1,0.75,1,1,0.9,1,0,0,0,0.75,0.9,1,0.75,0.75,1,1,0.66,1,1,0.66,0,0.75,0,1,0.9,1,1
spost6,1,0.75,1,0.75,1,1,0.75,1,1,0.9,1,0,0.66,0,1,0.9,0.75,0.75,0.5,1,1,0.66,1,0.66,0.66,0,0.75,0.9,0.66,0.9,0.75,0.66
spost7,0.75,0.5,1,0,0.75,0.75,1,1,1,0.9,1,0,0,0,0.75,0,0.75,1,0.75,1,1,0.66,1,1,0.66,0,1,0.9,1,0.9,1,1
spost8,0.75,1,1,0,1,1,1,1,1,0.9,1,0,0,0,0.75,0,1,1,0.75,0.66,1,0.66,1,0.66,0.33,0,1,0.9,0.66,0.9,1,0.66
spost9,0.165,0,0,0,0.165,0,1,0.75,0.75,1,1,0,0.25,0,0.75,0.9,1,1,0.75,1,0.75,0.66,0.75,1,0.33,0.25,0.75,0.9,1,1,1,0.66
spost10,0.165,0.495,0.66,0.165,0.33,0.165,1,1,0.75,1,1,0,0.25,0,1,0.9,1,1,0.75,1,1,0.66,0.75,1,0.66,0.25,0.75,0.9,1,1,1,0.66
spost11,1,0.5,0.75,0.5,1,0.75,1,0.75,1,0.9,1,0,0,0,0.75,0.9,1,1,0.75,1,1,0.66,0.75,1,0.66,0,0.75,0.9,0.9,0,1,0.9
spost12,0.66,0.33,0.66,1,1,0.66,1,0.66,1,0.9,1,0.9,0,0.33,0.33,0,0.66,1,0.66,1,1,0.66,1,0.66,0.66,0.9,0.66,0,1,0,0.75,1
spost13,1,0.66,1,1,1,1,1,0.66,1,0.9,1,0.33,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0.9,1,1
spost14,0.25,1,1,0,1,0.75,1,1,1,0.9,1,0,0,0,1,0.9,1,1,0.75,1,1,0.66,1,1,0.66,0,1,0,1,0.9,1,1
spost15,0,0,0,0,0,0,0.33,0.33,0.9,0.9,0.33,0,0,0,0,0.9,0.66,0.66,0.33,0.33,0.66,0.33,0.33,0.33,0,0,0.66,0,0.66,0,0.33,0.33
spost16,0.25,1,1,0,1,1,1,1,1,0.9,1,0,0.66,0,1,0.9,1,1,0.75,1,1,1,1,1,1,0,1,0,1,0.9,1,1
spost17,0.25,0.75,0.75,0,1,0.75,1,1,1,0.9,1,0,0,0,0.75,0,0.75,1,0.75,1,0.75,0.66,1,1,0.66,0,1,0,1,0.9,1,1
spost18,1,0.75,1,0.75,1,1,0.75,1,1,0.9,1,0.33,0,0,0.75,0.9,1,1,0.75,1,1,0.66,1,1,0.66,0,1,0.33,1,0.9,1,0.66
spost19,0.33,0.75,1,0,1,0.75,0.5,0.75,0.75,0.9,1,0,0,0,0.5,0,0.75,0.5,0.75,0.66,0.5,0.66,0.5,0.66,0.33,0,0.66,0,0.66,0.9,1,0.66
spost20,0.75,1,1,0,1,1,1,1,1,0.9,1,0.33,0,0,0.75,0,1,1,0.75,0.66,1,0.66,1,0.66,0.33,0,1,0.9,0.66,0.9,1,0.66
spost21,0.25,0.66,0.75,0,0.66,0.75,1,1,1,0.9,1,0.33,0.25,0,0.66,0,0.75,1,0.75,0.66,1,0.66,1,0.66,0.33,0.25,1,0.9,1,0.9,1,0.66
spost22,0.25,0.75,1,0,1,0.75,1,1,1,0.9,1,0.33,0,0,0.66,0,0.75,1,0.75,0.66,0.66,0.66,1,0.66,0.33,0,1,0.9,0.66,0.9,1,0.66
spost23,0.66,1,1,1,1,1,1,1,1,0.9,1,0.9,0,0.33,0.75,0.9,0.75,1,0.75,1,1,0.66,1,0.66,0.66,0.9,1,0,1,0.9,1,1
spost24,1,0.75,1,0.75,1,1,0.75,0.25,1,0.9,0.5,0.33,0.66,0,0.75,0,0.75,0.75,0.25,0.66,1,0.66,1,0.66,0.33,0.5,0.25,0.33,1,0.9,0,0.33
spost25,1,1,1,0.75,1,1,1,1,1,0.9,1,0.33,0,0,0.75,0.9,0.75,1,0.75,0.66,1,0.33,1,0.33,0.33,0,1,0.33,0.66,0.9,1,0.66
spost26,0.25,1,1,0,1,0.75,1,1,1,0.9,1,0,0,0,1,0.9,1,1,0.75,1,1,0.66,1,1,0.66,0,1,0,1,0.9,1,1
spost27,1,0.75,1,0.75,1,1,1,1,1,0.9,1,0.33,0.25,0,1,0,0.75,1,0.75,0.66,1,0.66,0.5,0.66,0.33,0.25,1,0.9,1,0.9,1,0.66
spost28,0.66,0.75,1,1,1,0.66,1,1,1,0.9,1,0.9,0,0.33,0.75,0.9,1,1,0.75,1,1,0.66,1,1,0.66,0.9,1,0,1,0.9,1,1
spost29,1,0.75,1,0.75,1,1,1,1,1,0.9,1,0.5,0.75,0,1,0.9,1,0.75,0.75,1,1,0.66,1,1,0.66,0.75,0.75,0.9,1,0.9,1,1
spost30,0.75,0.5,1,0,0.75,0.75,1,1,1,0.9,1,0.5,0.75,0,1,0,1,1,0.75,1,1,0.66,1,1,0.66,0.75,1,0.9,1,0.9,1,1
spost31,0.25,1,1,0,1,1,1,1,1,0.9,1,0.5,0.75,0,1,0.9,1,1,0.75,0.66,1,1,1,1,1,0.75,1,0.9,1,0.9,1,1
spost32,1,0.75,1,0.75,1,1,0.75,1,1,0.9,1,0.33,0.66,0,0.75,0.9,1,0.75,0.75,1,1,0.66,1,1,0.66,0.5,0.75,0.33,1,0.9,1,1
spost33,0.66,0.75,1,1,1,0.75,1,1,1,0.9,1,0.9,0,0.33,0.5,0,0.75,1,0.75,1,1,0.66,1,0.66,0.66,0.9,1,0.9,1,0.9,1,1
spost34,1,1,1,0.75,1,1,1,1,1,0.9,1,0.33,0.66,0,0.75,0,1,1,0.75,0.66,1,0.66,1,0.66,0.33,0.5,1,0.9,1,0.9,1,0.66
spost35,0.75,1,1,0,1,1,1,1,1,0.9,1,0.5,0.75,0,1,0,1,1,0.75,0.66,1,0.66,1,0.66,0.66,0.75,1,0.9,1,0.9,1,0.66
spost36,1,0.75,1,0.75,1,1,0.75,1,1,0.9,1,0,0.66,0,1,0,0.75,0.75,0.75,1,1,0.66,1,0.66,0.66,0.25,1,0.9,1,0.9,1,0.66
spost37,1,0.75,1,0.75,1,1,1,1,1,0.9,1,0.33,0,0,1,0,0.75,1,0.75,0.66,1,0.66,1,0.66,0.33,0,1,0.9,0.66,0.9,1,0.66
spost38,1,0.75,1,0.75,1,1,1,1,1,0.9,1,0.33,0.66,0,0.75,0,0.75,1,0.75,1,1,0.66,1,1,0.66,0.5,1,0.9,1,0.9,1,1
spost39,0.75,1,1,1,1,1,1,1,1,0.9,1,0.9,0,0.33,0.75,0,1,1,0.75,1,1,0.66,1,0.66,0.66,0.9,1,0.9,1,0.9,1,1
spost40,1,1,1,0.75,1,1,1,1,1,0.9,1,0.33,0.66,0,1,0.9,1,1,0.75,1,1,0.66,1,0.66,0.66,0.33,1,0.9,0.66,0.9,1,0.66
spost41,1,1,1,0.75,1,1,1,1,1,0.9,1,0.33,0,0,0.75,0.9,1,1,0.75,0.66,1,0.33,1,0.66,0.33,0.33,1,0.9,0.66,0.9,1,0.66
spost42,1,1,1,1,1,1,1,1,1,0.9,1,0.9,0.66,0.33,1,0.9,0.75,1,0.75,1,1,0.66,1,0.66,0.66,0.9,1,0.9,1,0.9,1,1
spost43,1,1,1,1,1,1,1,1,1,0.9,1,0.9,0,0.33,0.75,0.9,1,1,0.75,1,1,0.66,1,0.66,0.66,0.9,1,0.33,1,0.9,1,1
spost44,0.75,1,1,1,1,1,1,1,1,0.9,1,0.9,0,0.33,0.75,0.9,1,1,0.75,1,1,0.66,1,0.66,0.66,0.9,1,0.9,1,0.9,1,1
spost45,1,0.9,1,1,1,1,1,1,1,0.9,1,0.9,0.66,0.33,1,0.9,0.75,1,0.66,1,1,0.66,1,0.66,0.66,0.9,0.75,0.9,1,0.9,0.75,1
spost46,0.75,1,1,1,1,1,1,1,1,0.9,1,0.9,0,0.33,0.75,0.9,1,1,0.75,1,1,0.66,1,0.66,0.66,0.9,1,0.9,1,0.9,1,1
spost47,0.25,1,1,0,1,0.75,1,1,1,0.9,1,0.5,0.75,0,1,0.9,1,1,0.75,1,1,0.66,1,1,0.66,0.75,1,0.9,1,0.9,1,1
spost48,1,1,1,0.75,1,1,1,1,1,0.9,1,0.33,0.66,0,1,0.9,1,1,0.75,1,1,0.66,1,1,0.66,0.5,1,0.33,1,0.9,1,1
spost49,1,1,1,0.75,1,1,1,1,1,0.9,1,0.33,0.66,0,1,0.9,1,1,0.75,0.66,1,1,1,1,1,0.5,1,0.33,1,0.9,1,1
spost50,0.107179779,0.193713015,0.193713015,0.107179779,0.107179779,0.193713015,0.107179779,0.193713015,0.193713015,0.400000205,0.323457149,0.107179779,0.107179779,0.107179779,0.129845853,0.193713015,0.107179779,0.107179779,0.193713015,0.295234125,0.193713015,0.107179779,0.193713015,0.243762071,0.182045545,0.107179779,0.193713015,0.107179779,0.340521678,0.340521678,0.283202595,0.193713015
spost51,0.200000177,0.340520114,0.340520114,0.200000177,0.200000177,0.340520114,0.200000177,0.340520114,0.340520114,0.600000205,0.51613364,0.200000177,0.200000177,0.200000177,0.238616773,0.340520114,0.200000177,0.200000177,0.340520114,0.481514264,0.340520114,0.200000177,0.340520114,0.413249207,0.322665364,0.200000177,0.340520114,0.200000177,0.53609959,0.53609959,0.466150552,0.340520114
spost52,0.280384988,0.451779157,0.451779157,0.280384988,0.280384988,0.451779157,0.280384988,0.451779157,0.451779157,0.700000153,0.630906894,0.280384988,0.280384988,0.280384988,0.329733378,0.451779157,0.280384988,0.280384988,0.451779157,0.599049086,0.451779157,0.280384988,0.451779157,0.531093175,0.431286169,0.280384988,0.451779157,0.280384988,0.648429353,0.648429353,0.58433434,0.451779157
spost53,0.350000266,0.536097793,0.536097793,0.350000266,0.350000266,0.536097793,0.350000266,0.536097793,0.536097793,0.750000102,0.699274862,0.350000266,0.350000266,0.350000266,0.406061091,0.536097793,0.350000266,0.350000266,0.536097793,0.673208545,0.536097793,0.350000266,0.536097793,0.61302978,0.515189556,0.350000266,0.536097793,0.350000266,0.712945717,0.712945717,0.660680683,0.536097793
spost54,0.410288856,0.599999408,0.599999408,0.410288856,0.410288856,0.599999408,0.410288856,0.599999408,0.599999408,0.775000064,0.740000194,0.410288856,0.410288856,0.410288856,0.470000258,0.599999408,0.410288856,0.410288856,0.599999408,0.72,0.599999408,0.410288856,0.599999408,0.67000009,0.580000147,0.410288856,0.599999408,0.410288856,0.750000555,0.750000555,0.710000173,0.599999408
spost55,0.462500299,0.648427805,0.648427805,0.462500299,0.462500299,0.648427805,0.462500299,0.648427805,0.648427805,0.787500038,0.764259402,0.462500299,0.462500299,0.462500299,0.52356163,0.648427805,0.462500299,0.462500299,0.648427805,0.749523413,0.648427805,0.462500299,0.648427805,0.709611399,0.630062638,0.462500299,0.648427805,0.462500299,0.771282924,0.771282924,0.741860404,0.648427805
